No,지역,지역,지역,2024년 3분기,2024년 4분기,2025년 1분기,2025년 2분기,2025년 3분기,2025년 4분기,2026년 1분기
No,지역,지역,지역,공실률,공실률,공실률,공실률,공실률,공실률,공실률
No,지역,지역,지역,%,%,%,%,%,%,%
256,경남,마산동서동,마산동서동,0.9,1.7,0.9,3.1,3.1,3.1,1.1
257,경남,마산역버스터미널,마산역버스터미널,6.1,6.1,2.9,0.0,0.0,5.0,7.7
258,경남,밀양원도심/삼문동,밀양원도심/삼문동,9.2,9.2,9.2,13.6,13.6,19.2,19.2
259,경남,양산구도심,양산구도심,9.5,9.5,9.5,7.5,7.2,9.0,11.1
260,경남,용원동,용원동,9.2,9.2,12.3,12.3,12.3,3.1,3.1
261,경남,진주중앙시장,진주중앙시장,16.4,16.4,17.5,17.5,19.1,19.1,19.1
262,경남,진주하대동,진주하대동,0.0,0.0,0.0,0.0,0.0,0.0,0.0
263,경남,진해석동,진해석동,0.0,0.0,0.0,0.0,0.0,10.7,0.0
264,경남,창원시청,창원시청,0.0,0.0,0.0,0.0,0.0,0.0,0.0
265,경남,창원역,창원역,0.0,0.0,0.0,0.0,0.0,0.0,0.0
266,경남,창원월영동,창원월영동,13.8,15.4,15.4,15.5,12.5,12.5,12.4
267,경남,창원의창구청,창원의창구청,3.5,3.5,3.5,9.4,9.4,5.9,5.9
268,경남,통영 강구안,통영 강구안,3.5,3.5,3.5,3.5,3.5,5.4,5.4
269,경남,통영시청,통영시청,0.0,0.0,0.0,0.0,0.0,0.0,0.0
270,경남,평거동,평거동,0.0,0.0,0.0,0.0,0.0,0.0,0.0
271,경남,활천동,활천동,1.7,4.2,13.3,13.3,10.8,1.8,1.8
272,제주,제주,제주,2.7,3.6,5.8,2.4,2.7,3.2,2.3
273,제주,광양사거리,광양사거리,2.4,2.4,4.8,2.4,2.4,2.4,2.4
274,제주,노형오거리,노형오거리,0.0,2.6,5.1,2.6,0.0,0.0,0.0
275,제주,서귀포도심,서귀포도심,2.8,2.8,5.6,2.7,5.2,5.2,1.9
276,제주,중앙사거리,중앙사거리,3.8,3.8,7.4,4.8,4.8,7.4,5.9
