No,지역,지역,지역,2024년 3분기,2024년 4분기,2025년 1분기,2025년 2분기,2025년 3분기,2025년 4분기,2026년 1분기
No,지역,지역,지역,공실률,공실률,공실률,공실률,공실률,공실률,공실률
No,지역,지역,지역,%,%,%,%,%,%,%
178,경기,안성 서인사거리,안성 서인사거리,16.3,16.3,17.0,17.8,17.0,20.3,20.3
179,경기,안양역,안양역,14.0,13.3,14.1,13.5,13.5,17.5,17.2
180,경기,양주덕정역,양주덕정역,17.0,17.0,13.6,13.6,13.6,15.4,12.3
181,경기,여주시청,여주시청,4.5,4.5,4.5,9.9,9.9,9.9,9.9
182,경기,영통역,영통역,5.9,5.0,2.9,2.9,5.0,7.2,7.2
183,경기,오산시청,오산시청,4.1,4.1,6.3,6.3,5.6,4.1,4.1
184,경기,용인수지,용인수지,2.5,2.5,2.5,2.5,2.6,2.6,5.1
185,경기,의정부역,의정부역,12.8,12.8,13.2,14.5,18.3,15.9,14.5
186,경기,이천종합터미널,이천종합터미널,8.8,7.8,7.3,8.8,11.6,13.8,13.8
187,경기,인계동,인계동,10.0,13.2,11.2,11.2,17.7,15.1,15.1
188,경기,인덕원,인덕원,7.0,7.0,7.0,8.1,8.1,5.4,5.4
189,경기,탄현역,탄현역,16.0,14.8,17.5,16.3,19.8,18.8,19.6
190,경기,파주시청,파주시청,12.9,12.9,9.3,9.3,13.0,14.3,12.4
191,경기,팔달문로터리,팔달문로터리,22.9,23.8,24.3,25.3,25.0,25.6,26.1
192,경기,평택시청,평택시청,12.2,12.2,15.8,15.8,15.8,9.1,12.5
193,경기,평택역,평택역,8.9,10.4,11.3,8.6,10.1,9.4,9.4
194,경기,포천소흘읍,포천소흘읍,11.9,11.9,13.4,13.4,15.7,15.0,10.0
195,경기,포천시외버스터미널,포천시외버스터미널,12.9,12.9,12.9,12.9,12.9,12.9,14.2
196,경기,하남원도심,하남원도심,14.9,12.0,10.9,13.3,13.3,10.7,10.7
197,경기,화성남양읍,화성남양읍,9.3,9.3,13.9,16.2,13.5,9.8,9.8
198,경기,화성봉담읍,화성봉담읍,1.6,1.6,4.0,8.0,7.3,6.5,6.5
199,강원,강원,강원,14.4,14.3,15.2,15.7,15.5,15.3,17.0
200,강원,강릉교동,강릉교동,4.7,2.7,5.4,5.4,5.4,5.4,9.6
201,강원,강릉중부,강릉중부,15.2,15.2,16.1,13.3,13.4,12.6,15.1
202,강원,묵호항,묵호항,17.5,17.5,17.5,15.9,15.9,15.9,18.0
203,강원,삼척중앙시장,삼척중앙시장,7.5,7.5,8.5,8.5,7.2,7.5,7.5
204,강원,속초중앙시장,속초중앙시장,18.3,18.3,20.1,23.8,27.6,24.8,24.8
205,강원,영월경찰서,영월경찰서,10.6,10.6,10.6,14.4,16.0,16.0,12.4
206,강원,원주중앙/일산,원주중앙/일산,31.1,31.6,30.4,32.9,33.4,33.4,36.8
207,강원,원주터미널,원주터미널,9.9,9.1,11.2,14.6,14.6,14.3,14.3
208,강원,주문진항,주문진항,11.8,13.4,13.4,13.4,13.4,13.4,13.6
209,강원,춘천명동,춘천명동,19.7,19.7,22.1,26.0,23.6,23.6,25.1
